AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),723277386591,,CA5KR2432424,On The Way Records,,Breathe,,Austin Feldman,Track,Stream,BR,No,2,0.002388
2024-09-01,2024-09-30,,YouTube (Subscription),723277735771,,CA5KR2489540,On The Way Records,,Where Did You Go,,Paul Amber,Track,Stream,BR,No,1,0.002785
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,BR,No,2,0.002785
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,BR,No,6,0.007163
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CA,No,5,0.035578
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CA,No,1,0.002885
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CA,No,6,0.013537
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CA,No,2,0.004745
2024-09-01,2024-09-30,,YouTube (Subscription),723277154244,,CA5KR2394034,On The Way Records,,Illusionist,,Avio,Track,Stream,CA,No,1,0.007115
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,CA,No,3,0.021347
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,CA,No,3,0.008653
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,CA,No,6,0.021746
2024-09-01,2024-09-30,,YouTube (Subscription),795397991993,,CA5KR2376226,On The Way Records,,Rain,,Paul Amber,Track,Stream,CA,No,1,0.007115
2024-09-01,2024-09-30,,YouTube (Subscription),795397991993,,CA5KR2376226,On The Way Records,,Rain,,Paul Amber,Track,Stream,CA,No,1,0.002885
2024-09-01,2024-09-30,,YouTube (Subscription),723277728346,,CA5KR2488299,On The Way Records,,Control,,ZØDIAK,Track,Stream,CA,No,1,0.007115
2024-09-01,2024-09-30,,YouTube (Subscription),723277728346,,CA5KR2488299,On The Way Records,,Control,,ZØDIAK,Track,Stream,CA,No,1,0.002885
